month,total_exposure,total_saved,risk_count
2020-09,1.2335094e+08,4.9340376e+07,6
2021-01,2.4930035e+08,9.972014e+07,7
2021-05,2.7302573e+08,1.0921029e+08,9
2021-08,1.7449179e+08,6.979672e+07,7
2021-12,1.5143822e+08,6.057529e+07,8
